0-0-1-7-0-1-0-9	1	
0-0-1-7-0-1-1-8	1	
0-0-1-7-0-1-2-5	1	
0-0-1-7-0-1-2-6	1	
0-0-1-7-0-1-2-7	2	
0-0-1-7-0-1-2-8	1	
0-0-1-7-0-1-3-3	2	
0-0-1-7-0-1-3-4	3	
0-0-1-7-0-1-3-8	1	
0-0-1-7-0-1-3-9	3	
0-0-1-7-1-1-0-9	1	
0-0-1-7-1-1-2-4	1	
0-0-1-7-1-1-3-8	1	
0-0-1-7-2-1-0-6	1	
0-0-1-7-2-1-2-4	1	
0-0-1-7-3-1-3-4	1	
0-0-1-7-4-1-2-7	1	
0-0-1-7-5-1-0-9	1	
0-0-1-7-5-1-1-4	1	
0-0-1-7-5-1-1-7	1	
0-0-1-7-5-1-2-6	1	
0-0-1-7-5-1-2-9	1	
