#forbidden_phi_psi: Mon Sep 14 18:17:59 2009
#
-9	117	1	5.1	-18	108	9	16	329	
9	117	1	1.1	0	108	10	16	330	
27	117	1	1.1	18	108	11	16	331	
45	117	1	2.1	36	108	12	16	332	
63	117	1	10.1	54	108	13	16	333	
81	117	0	22.1	72	108	14	16	334	
99	117	0	38.1	90	108	15	16	335	
117	117	0	28.1	108	108	16	16	336	
135	117	1	21.1	126	108	17	16	337	
153	117	1	4.1	144	108	18	16	338	
171	117	1	11.1	162	108	19	16	339	
-171	135	0	415.1	-180	126	0	17	340	
-153	135	0	3803.1	-162	126	1	17	341	
-135	135	0	12604.1	-144	126	2	17	342	
-117	135	0	16695.1	-126	126	3	17	343	
-99	135	0	11124.1	-108	126	4	17	344	
-81	135	0	10042.1	-90	126	5	17	345	
-63	135	0	13964.1	-72	126	6	17	346	
-45	135	0	2739.1	-54	126	7	17	347	
-27	135	1	6.1	-36	126	8	17	348	
-9	135	1	1.1	-18	126	9	17	349	
9	135	1	0.1	0	126	10	17	350	
27	135	1	1.1	18	126	11	17	351	
45	135	1	1.1	36	126	12	17	352	
63	135	1	5.1	54	126	13	17	353	
81	135	0	30.1	72	126	14	17	354	
99	135	0	98.1	90	126	15	17	355	
117	135	0	46.1	108	126	16	17	356	
135	135	0	30.1	126	126	17	17	357	
153	135	0	32.1	144	126	18	17	358	
171	135	0	30.1	162	126	19	17	359	
-171	153	0	1609.1	-180	144	0	18	360	
-153	153	0	7626.1	-162	144	1	18	361	
-135	153	0	12250.1	-144	144	2	18	362	
-117	153	0	8623.1	-126	144	3	18	363	
-99	153	0	5112.1	-108	144	4	18	364	
-81	153	0	8334.1	-90	144	5	18	365	
-63	153	0	10792.1	-72	144	6	18	366	
-45	153	0	350.1	-54	144	7	18	367	
-27	153	1	2.1	-36	144	8	18	368	
-9	153	1	2.1	-18	144	9	18	369	
9	153	1	1.1	0	144	10	18	370	
27	153	1	0.1	18	144	11	18	371	
45	153	1	2.1	36	144	12	18	372	
63	153	1	9.1	54	144	13	18	373	
81	153	0	129.1	72	144	14	18	374	
99	153	0	234.1	90	144	15	18	375	
117	153	0	113.1	108	144	16	18	376	
135	153	0	68.1	126	144	17	18	377	
153	153	0	52.1	144	144	18	18	378	
171	153	0	92.1	162	144	19	18	379	
-171	171	0	2145.1	-180	162	0	19	380	
-153	171	0	4992.1	-162	162	1	19	381	
-135	171	0	4846.1	-144	162	2	19	382	
-117	171	0	2643.1	-126	162	3	19	383	
-99	171	0	2223.1	-108	162	4	19	384	
-81	171	0	4730.1	-90	162	5	19	385	
-63	171	0	1700.1	-72	162	6	19	386	
-45	171	1	6.1	-54	162	7	19	387	
-27	171	1	1.1	-36	162	8	19	388	
-9	171	1	0.1	-18	162	9	19	389	
9	171	1	1.1	0	162	10	19	390	
27	171	1	0.1	18	162	11	19	391	
45	171	1	2.1	36	162	12	19	392	
63	171	0	54.1	54	162	13	19	393	
81	171	0	378.1	72	162	14	19	394	
99	171	0	286.1	90	162	15	19	395	
117	171	0	154.1	108	162	16	19	396	
135	171	0	128.1	126	162	17	19	397	
153	171	0	191.1	144	162	18	19	398	
171	171	0	347.1	162	162	19	19	399	
